Params,Train RMSE,Valid RMSE;;;;;RMSE Test;RMSE Valid;;;
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 300},0.3850061476132226,0.49112061598319184;0.3850061476132226;0.49112061598319184;;;4.91121E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 350},0.37753392678846204,0.4891050969865384;0.377533926788462;0.4891050969865384;;;4.89105E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 100},0.38880490783258403,0.5146798199121481;0.388804907832584;0.5146798199121481;;;5.1468E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 200},0.3572374309402132,0.5099020264856851;,0.35723743094021;0.5099020264856851;;;5.09902E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 300},0.3385867110528157,0.5106427077985767;,0.33858671105281;0.5106427077985767;;;5.10643E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 350},0.33400897050548833,0.5101886627364102;0.334008970505488;0.5101886627364102;;;5.10189E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 100},0.4590391185128519,0.5214149698423397;,0.45903911851285;0.5214149698423397;;;5.21415E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 200},0.4310932375752802,0.5174133190847424;,0.43109323757528;0.5174133190847424;;;5.17413E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 300},0.41808144077703613,0.5162452370678612;0.418081440777036;0.5162452370678612;;;5.16245E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 350},0.41293671818917776,0.5161008359085961;0.412936718189177;0.5161008359085961;;;5.16101E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 100},0.4232469930603469,0.5142638795993473;,0.42324699306034;0.5142638795993473;;;5.14264E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 200},0.4034843394967646,0.5115978156970824;,0.40348433949676;0.5115978156970824;;;5.11598E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 300},0.38345660556380573,0.5077827434608736;0.383456605563805;0.5077827434608736;;;5.07783E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 350},0.36758123895736794,0.5052138093713125;0.367581238957367;0.5052138093713125;;;5.05214E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 100},0.38169379675952597,0.5251524898149922;0.381693796759525;0.5251524898149922;;;5.25152E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 200},0.35157510667090053,0.521828998408842;,0.3515751066709;0.521828998408842;;;5.21829E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 300},0.33711425502015496,0.5209374898923902;0.337114255020154;0.5209374898923902;;;5.20937E-05
{'xgbregressor__learning_rate':;0.6,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 350},0.33001840996321885,0.5215487772041504;0.330018409963218;0.5215487772041504;;;5.21549E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 100},0.4618606319511632,0.5297980951783527;,0.46186063195116;0.5297980951783527;;;5.29798E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 200},0.42817488023788486,0.526564353909423;,0.4281748802378;0.526564353909423;;;5.26564E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 300},0.41137430236793504,0.5237429953932712;0.411374302367935;0.5237429953932712;;;5.23743E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 350},0.40654258083022315,0.5238892852048135;0.406542580830223;0.5238892852048135;;;5.23889E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 100},0.4282066114634396,0.5183092307574438;,0.42820661146343;0.5183092307574438;;;5.18309E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 200},0.3915929592657016,0.5107644879289311;,0.39159295926570;0.5107644879289311;;;5.10764E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 300},0.374315249840583,0.5090325635595754;},0.3743152498405;0.5090325635595754;;;5.09033E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 350},0.3682487309474382,0.5085513346417698;,0.36824873094743;0.5085513346417698;;;5.08551E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 100},0.384893271251939,0.5522925434623511;},0.3848932712519;0.5522925434623511;;;5.52293E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 200},0.3578883349686135,0.5516015062741332;,0.35788833496861;0.5516015062741332;;;5.51602E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 300},0.3405041326113468,0.551058712376055;},0.340504132611;0.551058712376055;;;5.51059E-05
{'xgbregressor__learning_rate':;0.7,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 350},0.3295339383885385,0.549105194060596;},0.329533938388;0.549105194060596;;;5.49105E-05
